objectid,parentid,title,description,item information,postcard_type,creator,date,subject,location,publisher,publisher location,source,date is approximate,rights,rightsstatement,original_format,type,format,language,latitude,longitude,identifier,display_template,filename,object_location,image_small,image_thumb
nwpostcards755,,"McCall from Payette Lake, Idaho.","Postcard is of McCall, Idaho from Payette Lake.",,photographic postcard,Frank Palmer,1920,lakes; buildings; trees; houses; photographic postcards,"McCall, Idaho","Curt Teich & Co., Inc.","Chicago, IL","PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, color postcard",Image;StillImage,image/jpeg,eng,44.914584,-116.104338,pg_9_01_03,image,pg_9_01_03.jpg,/objects/pg_9_01_03.jpg,/objects/small/pg_9_01_03_sm.jpg,/objects/thumbs/pg_9_01_03_th.jpg
nwpostcards773,,"Natatorium, Boise, Idaho","Postcard is a photograph of a geothermal swimming pool that was located in Boise, Idaho.",,photographic postcard,,1920,swimming pools; trees; buildings; indoor swimming pools; photographic postcards,"Boise, Idaho","Wesley Andrews, Inc.","Baker, OR","PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, black and white postcard",Image;StillImage,multiple,eng,43.602705,-116.173324,pg_9_01_04h,multiple,,,/objects/small/pg_9_01_04h_sm.jpg,/objects/thumbs/pg_9_01_04h_th.jpg
nwpostcards774,nwpostcards773,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_04h,image,pg_9_01_04h.jpg,/objects/pg_9_01_04h.jpg,/objects/small/pg_9_01_04h_sm.jpg,/objects/thumbs/pg_9_01_04h_th.jpg
nwpostcards775,nwpostcards773,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_04h_b,image,pg_9_01_04h_b.jpg,/objects/pg_9_01_04h_b.jpg,/objects/small/pg_9_01_04h_b_sm.jpg,/objects/thumbs/pg_9_01_04h_b_th.jpg
nwpostcards776,,Overland Building,"Postcard is a photograph of the no longer standing Overland Building in Boise, Idaho.",,photographic postcard,,1920,buildings; utility poles; men; photographic postcards,"Boise, Idaho","Wesley Andrews, Inc.","Baker, OR","PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, black and white postcard",Image;StillImage,multiple,eng,43.615628,-116.203525,pg_9_01_04i,multiple,,,/objects/small/pg_9_01_04i_sm.jpg,/objects/thumbs/pg_9_01_04i_th.jpg
nwpostcards777,nwpostcards776,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_04i,image,pg_9_01_04i.jpg,/objects/pg_9_01_04i.jpg,/objects/small/pg_9_01_04i_sm.jpg,/objects/thumbs/pg_9_01_04i_th.jpg
nwpostcards778,nwpostcards776,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_04i_b,image,pg_9_01_04i_b.jpg,/objects/pg_9_01_04i_b.jpg,/objects/small/pg_9_01_04i_b_sm.jpg,/objects/thumbs/pg_9_01_04i_b_th.jpg
nwpostcards779,,"Hotel Boise, Boise, Idaho","Postcard is a photograph of the old Hotel Boise in Boise, Idaho.",,photographic postcard,,1920,hotels; buildings; automobiles; men; photographic postcards,"Boise, Idaho",,,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, black and white postcard",Image;StillImage,multiple,eng,43.617186,-116.201925,pg_9_01_04j,multiple,,,/objects/small/pg_9_01_04j_sm.jpg,/objects/thumbs/pg_9_01_04j_th.jpg
nwpostcards780,nwpostcards779,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_04j,image,pg_9_01_04j.jpg,/objects/pg_9_01_04j.jpg,/objects/small/pg_9_01_04j_sm.jpg,/objects/thumbs/pg_9_01_04j_th.jpg
nwpostcards781,nwpostcards779,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_04j_b,image,pg_9_01_04j_b.jpg,/objects/pg_9_01_04j_b.jpg,/objects/small/pg_9_01_04j_b_sm.jpg,/objects/thumbs/pg_9_01_04j_b_th.jpg
nwpostcards801,,"Main St., Moscow, Idaho. #2","Postcard of Main Street in Mosocw, Idaho on July 4th, 1911.",,photographic postcard,Burns,1911,streets; men; women; flagpoles; flag; clocks; buildings; utility poles; main streets; horse-drawn vehicles; photographic postcards,"Moscow, Idaho",,,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, black and white postcard",Image;StillImage,image/jpeg,eng,46.731574,-117.001365,pg_9_01_08b,image,pg_9_01_08b.jpg,/objects/pg_9_01_08b.jpg,/objects/small/pg_9_01_08b_sm.jpg,/objects/thumbs/pg_9_01_08b_th.jpg
nwpostcards836,,"Street of Culdesac, Idaho.","Postcard of a street in Culdesac, Idaho.",,photographic postcard,,1907,streets; men; buildings; photographic postcards,"Culdesac, Idaho",,,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, black and white postcard",Image;StillImage,multiple,eng,46.373623,-116.668518,pg_9_01_10a,multiple,,,/objects/small/pg_9_01_10a_sm.jpg,/objects/thumbs/pg_9_01_10a_th.jpg
nwpostcards837,nwpostcards836,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_10a,image,pg_9_01_10a.jpg,/objects/pg_9_01_10a.jpg,/objects/small/pg_9_01_10a_sm.jpg,/objects/thumbs/pg_9_01_10a_th.jpg
nwpostcards838,nwpostcards836,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_10a_b,image,pg_9_01_10a_b.jpg,/objects/pg_9_01_10a_b.jpg,/objects/small/pg_9_01_10a_b_sm.jpg,/objects/thumbs/pg_9_01_10a_b_th.jpg
nwpostcards845,,"Main Street, Moscow, Idaho. No. 61.","Postcard of main street Moscow, Idaho.",,photographic postcard,,1920,buildings; automobiles; men; utility poles; trees; photographic postcards,"Moscow, Idaho",Pacific Photo Company,"Salem, OR","PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, black and white postcard",Image;StillImage,multiple,eng,46.732215,-117.001656,pg_9_01_08t,multiple,,,/objects/small/pg_9_01_08t_sm.jpg,/objects/thumbs/pg_9_01_08t_th.jpg
nwpostcards846,nwpostcards845,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_08t,image,pg_9_01_08t.jpg,/objects/pg_9_01_08t.jpg,/objects/small/pg_9_01_08t_sm.jpg,/objects/thumbs/pg_9_01_08t_th.jpg
nwpostcards847,nwpostcards845,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_08t_b,image,pg_9_01_08t_b.jpg,/objects/pg_9_01_08t_b.jpg,/objects/small/pg_9_01_08t_b_sm.jpg,/objects/thumbs/pg_9_01_08t_b_th.jpg
nwpostcards848,,"View from State University, Moscow, Idaho. No. 59.","Postcard of Moscow, Idaho from the University of Idaho.",,photographic postcard,,1920,buildings; houses; trees; railroads; university towns; towns; utility poles; photographic postcards,"Moscow, Idaho",Pacific Photo Company,"Salem, OR","PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, black and white postcard",Image;StillImage,multiple,eng,46.728713,-117.010286,pg_9_01_08u,multiple,,,/objects/small/pg_9_01_08u_sm.jpg,/objects/thumbs/pg_9_01_08u_th.jpg
nwpostcards849,nwpostcards848,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_08u,image,pg_9_01_08u.jpg,/objects/pg_9_01_08u.jpg,/objects/small/pg_9_01_08u_sm.jpg,/objects/thumbs/pg_9_01_08u_th.jpg
nwpostcards850,nwpostcards848,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_08u_b,image,pg_9_01_08u_b.jpg,/objects/pg_9_01_08u_b.jpg,/objects/small/pg_9_01_08u_b_sm.jpg,/objects/thumbs/pg_9_01_08u_b_th.jpg
nwpostcards860,,"Main St. Moscow, Idaho","Postcard of Moscow, Idaho.",,photographic postcard,,1920,streets; men; buildings; automobiles; utility poles; trees; mountains; photographic postcards,"Moscow, Idaho",Hodgins Foto,"Moscow, ID","PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, black and white postcard",Image;StillImage,multiple,eng,46.729147,-117.00151,pg_9_01_08y,multiple,,,/objects/small/pg_9_01_08y_sm.jpg,/objects/thumbs/pg_9_01_08y_th.jpg
nwpostcards861,nwpostcards860,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_08y,image,pg_9_01_08y.jpg,/objects/pg_9_01_08y.jpg,/objects/small/pg_9_01_08y_sm.jpg,/objects/thumbs/pg_9_01_08y_th.jpg
nwpostcards862,nwpostcards860,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_08y_b,image,pg_9_01_08y_b.jpg,/objects/pg_9_01_08y_b.jpg,/objects/small/pg_9_01_08y_b_sm.jpg,/objects/thumbs/pg_9_01_08y_b_th.jpg
nwpostcards863,,"Main St. Juliaetta, Idaho, looking south. 515.","Postcard of Main St. in Juliaetta, Idaho looking South.",,photographic postcard,,1910,streets; men; buildings; trees; Equus caballus (species); mountains; snow; photographic postcards,"Juliaetta, Idaho",,,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, black and white postcard",Image;StillImage,image/jpeg,eng,46.579468,-116.705206,pg_9_01_09,image,pg_9_01_09.jpg,/objects/pg_9_01_09.jpg,/objects/small/pg_9_01_09_sm.jpg,/objects/thumbs/pg_9_01_09_th.jpg
nwpostcards866,,"Old town of Murray, Idaho.","Postcard of Murray, Idaho.",,photographic postcard,,1886,buildings; houses; streets; trees; ghost towns; photographic postcards,"Murray, Idaho",,,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, black and white postcard",Image;StillImage,multiple,eng,47.626131,-115.851765,pg_9_01_12c,multiple,,,/objects/small/pg_9_01_12c_sm.jpg,/objects/thumbs/pg_9_01_12c_th.jpg
nwpostcards867,nwpostcards866,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_12c,image,pg_9_01_12c.jpg,/objects/pg_9_01_12c.jpg,/objects/small/pg_9_01_12c_sm.jpg,/objects/thumbs/pg_9_01_12c_th.jpg
nwpostcards868,nwpostcards866,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_12c_b,image,pg_9_01_12c_b.jpg,/objects/pg_9_01_12c_b.jpg,/objects/small/pg_9_01_12c_b_sm.jpg,/objects/thumbs/pg_9_01_12c_b_th.jpg
nwpostcards873,,"Helmer, Idaho.","Postcard of Helmer, Idaho.","written message; postage applied; Postmark: 7/9/1914, Helmer, ID; Destination: Ilia[?], WA",photographic postcard,,1914,trees; buildings; houses; photographic postcards,"Helmer, Idaho",,,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, black and white postcard",Image;StillImage,multiple,eng,46.802747,-116.47025,pg_9_01_21a,multiple,,,/objects/small/pg_9_01_21a_sm.jpg,/objects/thumbs/pg_9_01_21a_th.jpg
nwpostcards874,nwpostcards873,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_21a,image,pg_9_01_21a.jpg,/objects/pg_9_01_21a.jpg,/objects/small/pg_9_01_21a_sm.jpg,/objects/thumbs/pg_9_01_21a_th.jpg
nwpostcards875,nwpostcards873,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_21a_b,image,pg_9_01_21a_b.jpg,/objects/pg_9_01_21a_b.jpg,/objects/small/pg_9_01_21a_b_sm.jpg,/objects/thumbs/pg_9_01_21a_b_th.jpg
nwpostcards894,,"Landore, Idaho.","Postcard of Landore, Idaho.",,photographic postcard,,1920,trees; buildings; rivers; photographic postcards,"Landore, Idaho",,,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, black and white postcard",Image;StillImage,multiple,eng,45.053477,-116.654261,pg_9_01_20a,multiple,,,/objects/small/pg_9_01_20a_sm.jpg,/objects/thumbs/pg_9_01_20a_th.jpg
nwpostcards895,nwpostcards894,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_20a,image,pg_9_01_20a.jpg,/objects/pg_9_01_20a.jpg,/objects/small/pg_9_01_20a_sm.jpg,/objects/thumbs/pg_9_01_20a_th.jpg
nwpostcards896,nwpostcards894,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_20a_b,image,pg_9_01_20a_b.jpg,/objects/pg_9_01_20a_b.jpg,/objects/small/pg_9_01_20a_b_sm.jpg,/objects/thumbs/pg_9_01_20a_b_th.jpg
nwpostcards897,,"Cuprum, Idaho.","Postcard of a street scene in Cuprum, Idaho.",,photographic postcard,,1920,men; Equus caballus (species); donkeys; horse-drawn vehicles; buildings; utility poles; women; Canis familiaris (species); photographic postcards,"Cuprum, Idaho",,,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, black and white postcard",Image;StillImage,multiple,eng,45.08624,-116.690979,pg_9_01_19a,multiple,,,/objects/small/pg_9_01_19a_sm.jpg,/objects/thumbs/pg_9_01_19a_th.jpg
nwpostcards898,nwpostcards897,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_19a,image,pg_9_01_19a.jpg,/objects/pg_9_01_19a.jpg,/objects/small/pg_9_01_19a_sm.jpg,/objects/thumbs/pg_9_01_19a_th.jpg
nwpostcards899,nwpostcards897,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_19a_b,image,pg_9_01_19a_b.jpg,/objects/pg_9_01_19a_b.jpg,/objects/small/pg_9_01_19a_b_sm.jpg,/objects/thumbs/pg_9_01_19a_b_th.jpg
nwpostcards939,,"Lapwai, Idaho. Aerial.","Postcard is of Lapwai, Idaho, formerly Fort Lapwai.","written message; postage applied; Postmark: 9/26/[1914?], Lapwai, ID; Destination: Abilene, KS",photographic postcard,,1914,buildings; mountains; trees; towns; streets; photographic postcards,"Lapwai, Idaho",,,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, black and white postcard",Image;StillImage,multiple,eng,46.415316,-116.776435,pg_9_01_30a,multiple,,,/objects/small/pg_9_01_30a_sm.jpg,/objects/thumbs/pg_9_01_30a_th.jpg
nwpostcards940,nwpostcards939,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_30a,image,pg_9_01_30a.jpg,/objects/pg_9_01_30a.jpg,/objects/small/pg_9_01_30a_sm.jpg,/objects/thumbs/pg_9_01_30a_th.jpg
nwpostcards941,nwpostcards939,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_30a_b,image,pg_9_01_30a_b.jpg,/objects/pg_9_01_30a_b.jpg,/objects/small/pg_9_01_30a_b_sm.jpg,/objects/thumbs/pg_9_01_30a_b_th.jpg
nwpostcards945,,"Lapwai, Idaho.","Postcard is of Lapwai, Idaho, formerly Fort Lapwai.",,photographic postcard,,1920,buildings; mountains; trees; towns; streets; utility poles; photographic postcards,"Lapwai, Idaho",,,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, black and white postcard",Image;StillImage,multiple,eng,46.395238,-116.807846,pg_9_01_30b,multiple,,,/objects/small/pg_9_01_30b_sm.jpg,/objects/thumbs/pg_9_01_30b_th.jpg
nwpostcards946,nwpostcards945,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_30b,image,pg_9_01_30b.jpg,/objects/pg_9_01_30b.jpg,/objects/small/pg_9_01_30b_sm.jpg,/objects/thumbs/pg_9_01_30b_th.jpg
nwpostcards947,nwpostcards945,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_30b_b,image,pg_9_01_30b_b.jpg,/objects/pg_9_01_30b_b.jpg,/objects/small/pg_9_01_30b_b_sm.jpg,/objects/thumbs/pg_9_01_30b_b_th.jpg
nwpostcards951,,"Public school, Burke, Idaho.","Postcard of a school building no longer standing in Burke, Idaho.",,photographic postcard,Barnard's Studio,1907,schools; buildings; public buildings; trees; mountains; photographic postcards,"Burke, Idaho",Barnard's Studio,"Wallace, ID","PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, black and white postcard",Image;StillImage,image/jpeg,eng,47.51915,-115.821928,pg_9_02_01,image,pg_9_02_01.jpg,/objects/pg_9_02_01.jpg,/objects/small/pg_9_02_01_sm.jpg,/objects/thumbs/pg_9_02_01_th.jpg
nwpostcards968,,"Lobby and office, Hotel Victoria, Spokane, Washington.","Postcard of the Hotel Victoria in Spokane, Washington.",,picture postcard,,1911,hotels (public accommodations); chairs; buildings; picture postcards,"Spokane, Washington",,,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, color postcard",Image;StillImage,image/jpeg,eng,47.657591,-117.42396,pg_9_03_04,image,pg_9_03_04.jpg,/objects/pg_9_03_04.jpg,/objects/small/pg_9_03_04_sm.jpg,/objects/thumbs/pg_9_03_04_th.jpg
nwpostcards1024,,Twin Falls-Jerome Bridge,"Postcard of the Twin Falls-Jerome Bridge which was replaced in 1976 by the Perrine Memorial Bridge near Twin Falls. | no. 570. Twin Falls - Jerome Bridge - rim to rim - Snake River Gorge, Idaho. Height 476 ft. highest in the world - 1400 ft. long.",,photographic postcard,,1920,cantilever bridges; bridges; rivers; canyons; photographic postcards,"Twin Falls, Idaho",,,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, black and white postcard",Image;StillImage,multiple,eng,42.600704,-114.463685,pg_9_05_02b,multiple,,,/objects/small/pg_9_05_02b_sm.jpg,/objects/thumbs/pg_9_05_02b_th.jpg
nwpostcards1025,nwpostcards1024,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_05_02b,image,pg_9_05_02b.jpg,/objects/pg_9_05_02b.jpg,/objects/small/pg_9_05_02b_sm.jpg,/objects/thumbs/pg_9_05_02b_th.jpg
nwpostcards1026,nwpostcards1024,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_05_02b_b,image,pg_9_05_02b_b.jpg,/objects/pg_9_05_02b_b.jpg,/objects/small/pg_9_05_02b_b_sm.jpg,/objects/thumbs/pg_9_05_02b_b_th.jpg
nwpostcards1043,,"Salmon River below Salmon, Idaho. Shows U.S. 93.","Postcard of Salmon River below Salmon, Idaho.",,photographic postcard,Wesley Andrews?,1920,rivers; trees; highways; mountains; bridges; photographic postcards,"Salmon, Idaho",,,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, black and white postcard",Image;StillImage,multiple,eng,44.984653,-113.947892,pg_9_06_15b,multiple,,,/objects/small/pg_9_06_15b_sm.jpg,/objects/thumbs/pg_9_06_15b_th.jpg
nwpostcards1044,nwpostcards1043,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_06_15b,image,pg_9_06_15b.jpg,/objects/pg_9_06_15b.jpg,/objects/small/pg_9_06_15b_sm.jpg,/objects/thumbs/pg_9_06_15b_th.jpg
nwpostcards1045,nwpostcards1043,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_06_15b_b,image,pg_9_06_15b_b.jpg,/objects/pg_9_06_15b_b.jpg,/objects/small/pg_9_06_15b_b_sm.jpg,/objects/thumbs/pg_9_06_15b_b_th.jpg
nwpostcards1110,,"[Cable] Ferry on Snake River, Idaho.",Postcard of a ferry crossing the Snake River in Idaho.,,photographic postcard,,1910,men; women; Equus caballus (species): horse-drawn vehicles; trees; buildings; ferries; photographic postcards,"Snake River, Idaho",,,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, color postcard",Image;StillImage,image/jpeg,eng,43.343064,-116.601616,pg_9_08_01,image,pg_9_08_01.jpg,/objects/pg_9_08_01.jpg,/objects/small/pg_9_08_01_sm.jpg,/objects/thumbs/pg_9_08_01_th.jpg
nwpostcards1130,,Bunker Hill and Sullivan Mill.,"Postcard of the Bunker Hill and Sullivan Mills near Kellogg, Idaho.",,picture postcard,,1909,smelters (metalworking plants); mine buildings; mines (extracting complexes); buildings; trees; mountains; picture postcards,"Kellogg, Idaho",Barnard's Studio,"Wallace, ID","PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, color postcard",Image;StillImage,multiple,eng,47.536573,-116.137873,pg_9_09_07b,multiple,,,/objects/small/pg_9_09_07b_sm.jpg,/objects/thumbs/pg_9_09_07b_th.jpg
nwpostcards1131,nwpostcards1130,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_09_07b,image,pg_9_09_07b.jpg,/objects/pg_9_09_07b.jpg,/objects/small/pg_9_09_07b_sm.jpg,/objects/thumbs/pg_9_09_07b_th.jpg
nwpostcards1132,nwpostcards1130,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_09_07b_b,image,pg_9_09_07b_b.jpg,/objects/pg_9_09_07b_b.jpg,/objects/small/pg_9_09_07b_b_sm.jpg,/objects/thumbs/pg_9_09_07b_b_th.jpg
nwpostcards1134,,"Smelting works owned by Empire Copper Company, Mackay, Idaho.","Postcard of a smelting mill in Mackay, Idaho.",,photographic postcard,,1920,smelters (metalworking plants); buildings; trees; mountains; photographic postcards,"Mackay, Idaho",,,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, color postcard",Image;StillImage,multiple,eng,43.909117,-113.618215,pg_9_09_08a,multiple,,,/objects/small/pg_9_09_08a_sm.jpg,/objects/thumbs/pg_9_09_08a_th.jpg
nwpostcards1135,nwpostcards1134,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_09_08a,image,pg_9_09_08a.jpg,/objects/pg_9_09_08a.jpg,/objects/small/pg_9_09_08a_sm.jpg,/objects/thumbs/pg_9_09_08a_th.jpg
nwpostcards1136,nwpostcards1134,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_09_08a_b,image,pg_9_09_08a_b.jpg,/objects/pg_9_09_08a_b.jpg,/objects/small/pg_9_09_08a_b_sm.jpg,/objects/thumbs/pg_9_09_08a_b_th.jpg
